iter	Passed	Remaining
155	27276	147571
156	27426	147263
157	27647	147336
158	27798	147032
159	28000	147002
160	28183	146870
161	28339	146597
162	28497	146331
163	28689	146245
164	28853	146016
165	29066	146034
166	29240	145853
167	29403	145615
168	29553	145320
169	29726	145137
170	29877	144843
171	30062	144721
172	30218	144453
173	30371	144177
174	30525	143907
175	30687	143674
176	30844	143419
177	31038	143333
178	31187	143044
179	31371	142916
180	31521	142630
181	31674	142360
182	31862	142250
183	32021	142006
184	32182	141774
185	32362	141630
186	32531	141431
187	32686	141176
188	32866	141029
189	33056	140926
190	33211	140668
191	33396	140542
192	33541	140249
193	33676	139913
194	33862	139793
195	34054	139692
196	34198	139397
197	34362	139185
198	34530	138989
199	34683	138732
200	34833	138467
201	35059	138503
202	35211	138243
203	35369	138011
204	35527	137779
205	35710	137640
206	35853	137351
207	36083	137395
208	36263	137247
209	36418	137003
210	36556	136698
211	36741	136568
212	36937	136478
213	37104	136281
214	37239	135968
215	37420	135820
216	37599	135669
217	37743	135391
218	37922	135238
219	38135	135208
220	38254	134843
221	38403	134583
222	38580	134424
223	38868	134652
224	39122	134755
225	39272	134499
226	39444	134320
227	39614	134132
228	39767	133888
229	39945	133729
230	40145	133643
231	40270	133308
232	40418	133049
233	40595	132891
234	40747	132645
235	40916	132457
236	41107	132343
237	41264	132116
238	41416	131874
239	41591	131707
240	41732	131429
241	41899	131237
242	42090	131120
243	42237	130866
244	42389	130629
245	42550	130418
246	42678	130110
247	42837	129895
248	43110	130022
249	43257	129772
250	43457	129680
251	43623	129484
252	43802	129331
253	44062	129410
254	44252	129285
255	44451	129186
256	44615	128984
257	44750	128702
258	44955	128618
259	45166	128549
260	45337	128368
261	45475	128095
262	45617	127833
263	45772	127608
264	45966	127492
265	46151	127351
266	46323	127171
267	46505	127023
268	46696	126896
269	46949	126938
270	47127	126774
271	47282	126549
272	47446	126351
273	47596	126113
274	47741	125864
275	47925	125718
276	48078	125490
277	48227	125252
278	48370	125001
279	48536	124809
280	48695	124598
281	48832	124332
282	49021	124199
283	49175	123977
284	49322	123738
285	49468	123499
286	49633	123305
287	49875	123302
288	50181	123456
289	50350	123270
290	50494	123025
291	50649	122807
292	50846	122690
293	51038	122562
294	51222	122413
295	51411	122275
296	51558	122039
297	51721	121841
298	51939	121770
299	52087	121537
300	52227	121286
301	52421	121160
302	52616	121034
303	52776	120830
304	53023	120824
305	53210	120680
306	53424	120596
307	53585	120392
308	53723	120139
309	53965	120115
310	54110	119879
311	54291	119719
312	54461	119537
313	54612	119312
314	54767	119097
315	54989	119027
316	55124	118769
317	55288	118574
318	55463	118402
319	55616	118185
320	55776	117982
321	55992	117896
322	56147	117683
323	56302	117470
324	56499	117345
325	56638	117099
326	56792	116884
327	57026	116835
328	57169	116597
329	57337	116413
330	57501	116219
331	57656	116008
332	57807	115787
333	58017	115687
334	58192	115516
335	58322	115255
336	58473	115039
337	58668	114907
338	58819	114689
339	58998	114526
340	59166	114343
341	59312	114116
342	59460	113892
343	59631	113716
344	59798	113530
345	59978	113369
346	60132	113160
347	60345	113061
348	60500	112854
349	60650	112636
350	60820	112457
351	61017	112327
352	61174	112124
353	61331	111920
354	61504	111747
355	61786	111771
356	62036	111735
357	62204	111551
358	62358	111341
359	62504	111118
360	62684	110957
361	62879	110819
362	63059	110657
363	63197	110421
364	63372	110250
365	63558	110098
366	63706	109881
367	63914	109766
368	64109	109628
369	64304	109491
370	64516	109383
371	64697	109219
372	64943	109167
373	65185	109107
374	65375	108959
375	65528	108749
376	65679	108535
377	65898	108435
378	66083	108279
379	66271	108127
380	66447	107955
381	66610	107762
382	66760	107548
383	66971	107432
384	67152	107270
385	67333	107104
386	67507	106930
387	67673	106743
388	67821	106526
389	68048	106434
390	68220	106255
391	68390	106074
392	68564	105899
393	68743	105732
394	68932	105580
395	69088	105376
396	69280	105229
397	69473	105082
398	69644	104903
